#TAG,NAME,PURPOSE
,xorg-server,"The graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xbacklight,"Screen brightness levels."
,xcompmgr,"Removing screen-tearing."
,xorg-xprop,"Window properties detection tool."
,arandr,"allows the user to customize monitor arrangements."
,stow,"Symlink autocreation tool."
,ueberzug,"Images in terminal"
,libnotify,"allows desktop notifications."
,dunst,"Notification system."
,sxiv,"Image viewer."
,ffmpeg,"cli video/audio editor"
,gnome-keyring,"serves as the system keyring."
,mpd,"is a lightweight music daemon."
,mpc,"Cli mpd control tool."
,mpv,"Video player."
,ncmpcpp,"NCurses music player."
,firefox,"Gecko browser."
,pipewire,"Audio system."
,pipewire-alsa,"Pipewire alsa compatibility."
,pipewire-pulse,"Pipewire pulseaudio compatibility."
,pipewire-jack,"Pipewire jack compatibility."
,pulsemixer,"Cli audio conroller."
,networkmanager,"Network manager"
,network-manager-applet,"Network manage applet"
,python,"Python"
,maim,"Screenshot tool."
,unrar,"Extracts rars."
,unzip,"Unzips zips."
,xclip,"Copy paste tool."
,xdotool,"Window action utilities on the command line."
,yt-dlp,"Video/audio downloader"
,zathura,"Document eader."
,zathura-pdf-mupdf,"Zathura pdf addon"
,fzf,"Fuzzy finder."
,bat,"Improved cat command."
,exa,"Better ls command"
,zsh,"Z-shell."
,neofetch,"Fetch tool."
,lxappearance,"Look and feel selector."
,mopidy,"Music player daemon"
,rofi,"Launcher program"
A,mopidy-mpd,"Mopidy mpd support"
A,mopidy-youtube,"Mopidy youtube plugin"
A,simple-mtpfs,"Phone mounting."
A,zsh-fast-syntax-highlighting-git,"Syntax highlighting in the shell."
A,brave-bin,"Chromium browser."
A,lf-git,"Lf cli file manager."
A,flavours,"Base 16 colorscheme injection tool."
A,devour,"Terminal swallowing"
P,pywal,"Colorscheme management tool"
